Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,2190.44871
FDW14,OUT017,1717.19807
NCN55,OUT010,445.0873
FDQ58,OUT017,2161.8193100000003
FDY38,OUT027,4405.63189
FDH56,OUT046,2521.0184099999997
FDL48,OUT018,1983.31833
FDC48,OUT027,2837.87263
FDN33,OUT045,1722.9572400000002
FDA36,OUT017,2427.40693
FDT44,OUT017,1884.97967
FDQ56,OUT045,1662.93537
NCC54,OUT019,422.51668
FDU11,OUT049,2238.65263
DRL59,OUT013,1646.3236599999996
FDM24,OUT049,2662.6673600000004
FDI57,OUT045,2278.9002399999995
DRC12,OUT018,2189.18369
NCM42,OUT027,2862.30749
FDA46,OUT010,361.56269000000003
FDA31,OUT013,2830.21593
NCJ31,OUT035,2791.0668899999996
FDG52,OUT046,1042.8758300000002
NCL19,OUT019,370.45111999999995
FDS10,OUT035,3020.66802
FDX22,OUT010,397.91537000000005
NCF19,OUT035,1646.02405
NCE06,OUT046,2269.0796899999996
DRC27,OUT046,2625.68217
FDE21,OUT035,1864.4397400000003
NCR42,OUT019,236.32571
FDX51,OUT018,2284.7925700000005
NCR06,OUT018,1258.89464
FDU31,OUT027,5262.549779999999
FDU59,OUT017,2441.7216299999995
FDR03,OUT027,4285.521570000001
FDS49,OUT027,3312.12197
FDD48,OUT010,234.66120999999998
NCF18,OUT017,3215.84729
NCD43,OUT027,2822.5925199999997
NCD54,OUT018,1804.05168
FDY19,OUT010,211.55795000000003
NCY54,OUT017,2439.12501
NCL19,OUT018,1789.0711799999997
FDP23,OUT010,502.7455800000001
FDC26,OUT013,2524.84676
FDR14,OUT010,346.58219
NCS41,OUT035,2894.9982699999996
FDF41,OUT035,2529.0413
FDU34,OUT046,2351.20612
DRH11,OUT046,2064.51264
FDM03,OUT013,2145.5405
FDS31,OUT017,2989.04252
FDJ20,OUT017,2342.98349
FDV44,OUT027,5132.28601
FDG02,OUT049,2132.09134
FDA09,OUT013,2667.3279600000005
FDT04,OUT013,967.0412099999998
FDL58,OUT019,334.53121
FDE52,OUT045,1493.7223000000004
FDW12,OUT035,2242.8138799999997
FDL51,OUT017,3686.7676300000007
NCY42,OUT027,3663.5312099999996
FDR07,OUT017,1620.59049
FDN40,OUT045,1992.2067599999996
FDB35,OUT027,2493.65403
FDA22,OUT017,2586.4332600000002
NCL06,OUT046,3130.82463
FDI35,OUT013,3183.9887599999993
NCW42,OUT045,3150.83192
NCX06,OUT049,3451.6070700000005
FDC37,OUT027,2881.9818800000003
FDZ14,OUT018,1761.93983
DRG49,OUT049,2568.7562700000003
NCG06,OUT045,3116.6430900000005
DRC36,OUT045,1653.5475900000001
FDV21,OUT019,372.54839
FDB53,OUT046,1994.9032499999998
DRP47,OUT019,536.7013800000001
FDA14,OUT013,1879.7198500000002
DRC24,OUT035,2153.5966799999997
FDW21,OUT018,1800.5562299999997
NCH29,OUT046,1861.11074
FDU58,OUT013,2579.47565
FDY27,OUT017,2530.33961
FDV56,OUT035,1768.1983500000001
FDT59,OUT046,3178.42933
FDB23,OUT046,3055.08988
FDR49,OUT045,1356.33447
FDB03,OUT010,476.51305999999994
FDN39,OUT045,2408.69795
FDX02,OUT027,4598.514150000001
FDQ16,OUT027,2518.15547
FDU35,OUT018,2165.5145
NCT29,OUT013,1472.78289
FDZ27,OUT046,1629.11273
FDN57,OUT017,2507.23635
FDA03,OUT018,2047.6013200000002
FDZ36,OUT045,2821.1610500000006
NCU05,OUT013,1379.1048299999998
FDT39,OUT018,2367.9842799999997
FDK60,OUT017,1557.7722600000002
FDZ25,OUT017,2859.11165
FDG12,OUT046,2195.10931
DRB01,OUT019,430.50627999999995
NCC43,OUT027,6338.116390000001
FDX13,OUT019,448.51617000000005
FDM22,OUT049,1612.10154
FDJ03,OUT027,2736.4712899999995
FDU14,OUT018,2447.8469899999996
FDB33,OUT010,321.61469
FDP27,OUT046,2680.011449999999
FDO38,OUT010,221.91114000000002
FDE28,OUT027,3709.53799
FDO27,OUT035,2232.19437
DRL23,OUT027,3128.39446
FDS28,OUT046,1848.72686
FDX24,OUT013,2003.5586499999997
FDZ02,OUT035,2276.4700700000003
FDL46,OUT045,2082.88872
FDS60,OUT027,2809.40968
NCO06,OUT017,1239.58644
